Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1200,500,100,1200,1100,
painting_2,sold,Opus,950,700,100,900,950,
painting_3,sold,GPT-5.4,150,150,100,,,
painting_4,sold,GPT-5.4,1100,1100,300,1000,750,
painting_5,sold,Llama,500,400,100,500,350,250
painting_6,sold,Pro,350,200,300,,150,350
painting_7,sold,Opus,1400,1300,250,,1400,
painting_8,sold,GPT-5.4,550,550,500,,,
painting_9,sold,GPT-5.4,850,850,100,800,550,250
painting_10,sold,GPT-5.4,900,900,100,400,850,
painting_11,sold,GPT-5.4,1100,1100,1000,,,
painting_12,sold,Grok,9650,,9650,9900,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,6,5350,4650,0.465,12,12,0,1558.333
Grok,1,350,9650,0.965,12,12,0,1558.333
Llama,2,8300,1700,0.17,12,12,0,1558.333
Opus,2,7650,2350,0.235,12,12,0,1558.333
Pro,1,9650,350,0.035,12,12,0,1558.333
