Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Math-T3,max_bid_Pro
painting_1,sold,Llama,900,850,650,900,700,750
painting_2,sold,Llama,1300,950,,1300,1000,1100
painting_3,sold,Llama,1300,850,900,1300,1200,1000
painting_4,sold,Math-T3,1500,1400,1100,550,1500,1300
painting_5,sold,Math-T3,1300,1100,1200,800,1300,1000
painting_6,sold,GPT-5.4,1600,1600,1200,800,950,1500
painting_7,sold,Pro,1600,1400,400,1300,1500,1600
painting_8,sold,Grok,1900,1300,1900,1200,1800,1600
painting_9,sold,Pro,2500,2100,1800,1600,2200,2500
painting_10,sold,Math-T3,4000,3750,2700,2200,4000,1600
painting_11,sold,Llama,6150,4250,150,6150,2600,5900
painting_12,sold,GPT-5.4,8400,8400,,,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,0,10000,1.0,12,12,0,2704.167
Grok,1,8100,1900,0.19,12,12,0,2704.167
Llama,4,350,9650,0.965,12,12,0,2704.167
Math-T3,3,3200,6800,0.68,12,12,0,2704.167
Pro,2,5900,4100,0.41,12,12,0,2704.167
