Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-GPT-5.4,900,800,900,600,450,700
painting_2,sold,Mimic-Llama,1050,950,750,650,1050,900
painting_3,sold,Mimic-Llama,1150,900,850,750,1150,1050
painting_4,sold,Mimic-Grok,2350,850,1250,2350,1750,2150
painting_5,sold,Mimic-Opus,1500,1300,1200,700,950,1500
painting_6,sold,Mimic-Llama,1700,1500,1400,250,1700,850
painting_7,sold,Mimic-Llama,1900,1600,1800,700,1900,750
painting_8,sold,Math-T2,1800,1800,1700,1100,1000,1500
painting_9,sold,Mimic-GPT-5.4,2200,1900,2200,400,900,2100
painting_10,sold,Mimic-Opus,2800,2700,2600,2200,1700,2800
painting_11,sold,Mimic-Grok,4750,4250,4000,4750,2500,2200
painting_12,sold,Math-T2,5750,5750,5500,200,3000,250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,2450,7550,0.755,12,12,0,2320.833
Mimic-GPT-5.4,2,6900,3100,0.31,12,12,0,2320.833
Mimic-Grok,2,2900,7100,0.71,12,12,0,2320.833
Mimic-Llama,4,4200,5800,0.58,12,12,0,2320.833
Mimic-Opus,2,5700,4300,0.43,12,12,0,2320.833
