Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Grok,max_bid_Llama,max_bid_Math-T1,max_bid_Opus,max_bid_Pro
painting_1,sold,Math-T1,1200,750,1100,1200,800,1000
painting_2,sold,Math-T1,2300,900,2200,2300,700,1200
painting_3,sold,Math-T1,2100,1000,900,2100,2000,1200
painting_4,sold,Math-T1,3750,900,3500,3750,950,1000
painting_5,sold,Pro,1700,1100,1600,600,1200,1700
painting_6,sold,Llama,1900,1100,1900,600,1800,950
painting_7,sold,Opus,1800,1500,1700,600,1800,1300
painting_8,sold,Grok,2100,2100,2000,600,1200,1600
painting_9,sold,Llama,2000,700,2000,650,1100,1800
painting_10,sold,Pro,2600,650,2400,600,2500,2600
painting_11,sold,Llama,5950,3250,5950,600,2800,5700
painting_12,sold,Opus,8200,5950,,100,8200,5700

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Grok,1,7900,2100,0.21,12,12,0,2966.667
Llama,3,150,9850,0.985,12,12,0,2966.667
Math-T1,4,650,9350,0.935,12,12,0,2966.667
Opus,2,0,10000,1.0,12,12,0,2966.667
Pro,2,5700,4300,0.43,12,12,0,2966.667
