Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Grok,1000,700,800,1000,950,850
painting_2,sold,Mimic-Llama,1500,1000,1300,1200,1500,1400
painting_3,sold,Mimic-Llama,1200,1000,1100,,1200,
painting_4,sold,Math-T3,1100,1100,950,900,600,1000
painting_5,sold,Mimic-Pro,1500,1200,1300,750,600,1500
painting_6,sold,Mimic-GPT-5.4,1700,950,1700,1000,1600,1400
painting_7,sold,Math-T3,1700,1700,1600,1500,1300,1200
painting_8,sold,Mimic-Pro,2300,1400,1600,1500,2100,2300
painting_9,sold,Mimic-Grok,4000,1600,2400,4000,3500,2000
painting_10,sold,Mimic-Llama,4000,3750,3250,900,4000,2400
painting_11,sold,Math-T3,5350,5350,5100,150,3100,2200
painting_12,sold,Mimic-GPT-5.4,3850,1600,3850,800,3100,3600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,1850,8150,0.815,12,12,0,2433.333
Mimic-GPT-5.4,2,4450,5550,0.555,12,12,0,2433.333
Mimic-Grok,2,5000,5000,0.5,12,12,0,2433.333
Mimic-Llama,3,3300,6700,0.67,12,12,0,2433.333
Mimic-Pro,2,6200,3800,0.38,12,12,0,2433.333
