Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,2250,2250,950,2150,800,1250
painting_2,sold,Math-T1,4250,4250,1200,4000,950,1000
painting_3,sold,Mimic-Llama,4000,3500,1200,4000,1500,1600
painting_4,sold,Math-T1,2350,2350,1550,1650,2250,1850
painting_5,sold,Mimic-Llama,2900,1000,2200,2900,2800,2600
painting_6,sold,Mimic-Opus,3600,1000,2700,2800,3600,3100
painting_7,sold,Mimic-GPT-5.4,3050,900,3050,2750,2350,2850
painting_8,sold,Mimic-Pro,4000,1100,3750,3000,3250,4000
painting_9,sold,Mimic-Opus,4750,1000,4500,3000,4750,4250
painting_10,sold,Mimic-GPT-5.4,5250,850,5250,2800,1100,4750
painting_11,sold,Mimic-Pro,3250,850,1300,3000,1600,3250
painting_12,sold,Mimic-Llama,2700,850,1700,2700,1400,2600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,1150,8850,0.885,12,12,0,3529.167
Mimic-GPT-5.4,2,1700,8300,0.83,12,12,0,3529.167
Mimic-Llama,3,400,9600,0.96,12,12,0,3529.167
Mimic-Opus,2,1650,8350,0.835,12,12,0,3529.167
Mimic-Pro,2,2750,7250,0.725,12,12,0,3529.167
