Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-GPT-5.4,1250,700,1250,,1050,1150
painting_2,sold,Mimic-Llama,1200,850,800,900,1200,1000
painting_3,sold,Mimic-Opus,1400,950,900,550,1200,1400
painting_4,sold,Mimic-Grok,1400,1100,750,1400,1300,1000
painting_5,sold,Mimic-Llama,1800,1400,1700,950,1800,1100
painting_6,sold,Mimic-Llama,2150,1750,1150,1850,2150,2050
painting_7,sold,Math-T3,1700,1700,1600,1000,700,1100
painting_8,sold,Math-T3,2200,2200,1800,2000,1100,2100
painting_9,sold,Mimic-GPT-5.4,2900,1700,2900,2800,1900,2400
painting_10,sold,Mimic-Grok,4250,3250,2600,4250,1200,4000
painting_11,sold,Math-T3,5250,5250,4250,1800,4750,5000
painting_12,sold,Mimic-Opus,5750,850,5250,650,4750,5750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,850,9150,0.915,12,12,0,2604.167
Mimic-GPT-5.4,2,5850,4150,0.415,12,12,0,2604.167
Mimic-Grok,2,4350,5650,0.565,12,12,0,2604.167
Mimic-Llama,3,4850,5150,0.515,12,12,0,2604.167
Mimic-Opus,2,2850,7150,0.715,12,12,0,2604.167
