Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T5,950,950,900,250,750,850
painting_2,sold,Mimic-Llama,1900,1800,1000,1300,1900,950
painting_3,sold,Mimic-Llama,2200,1900,950,600,2200,1200
painting_4,sold,Math-T5,1300,1300,950,1000,450,1200
painting_5,sold,Math-T5,1850,1850,1750,800,750,1650
painting_6,sold,Mimic-Llama,5500,3000,2200,5250,5500,2700
painting_7,sold,Math-T5,2900,2900,2800,2000,250,1500
painting_8,sold,Mimic-GPT-5.4,3250,3000,3250,2900,250,2600
painting_9,sold,Mimic-Grok,3850,2600,3600,3850,250,3350
painting_10,sold,Mimic-Pro,5000,3000,4750,1900,200,5000
painting_11,sold,Mimic-GPT-5.4,6250,,6250,6000,200,2400
painting_12,sold,Mimic-Pro,3000,2900,450,,200,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,3000,7000,0.7,12,12,0,3162.5
Mimic-GPT-5.4,2,500,9500,0.95,12,12,0,3162.5
Mimic-Grok,1,6150,3850,0.385,12,12,0,3162.5
Mimic-Llama,3,400,9600,0.96,12,12,0,3162.5
Mimic-Pro,2,2000,8000,0.8,12,12,0,3162.5
