Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-Llama,1400,650,900,450,1400,1200
painting_2,sold,Mimic-Opus,1000,750,950,200,850,1000
painting_3,sold,Mimic-Opus,1600,950,1200,1400,1100,1600
painting_4,sold,Mimic-Llama,1600,1500,1200,500,1600,700
painting_5,sold,Mimic-Llama,1800,1100,1700,1300,1800,700
painting_6,sold,Math-T3,1800,1800,1700,1200,1300,1000
painting_7,sold,Mimic-GPT-5.4,2200,2000,2200,1800,650,750
painting_8,sold,Mimic-Grok,2600,2500,2000,2600,1500,1700
painting_9,sold,Math-T3,2500,2500,2400,1900,2000,1600
painting_10,sold,Mimic-GPT-5.4,3750,3500,3750,200,3000,2800
painting_11,sold,Mimic-Grok,5750,5500,2400,5750,2900,3750
painting_12,sold,Mimic-Opus,5600,4600,3850,,5100,5600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,2,5700,4300,0.43,12,12,0,2633.333
Mimic-GPT-5.4,2,4050,5950,0.595,12,12,0,2633.333
Mimic-Grok,2,1650,8350,0.835,12,12,0,2633.333
Mimic-Llama,3,5200,4800,0.48,12,12,0,2633.333
Mimic-Opus,3,1800,8200,0.82,12,12,0,2633.333
