Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,850,850,800,650,750,300
painting_2,sold,Math-T1,1700,1700,950,1200,1500,1600
painting_3,sold,Math-T1,1850,1850,950,1150,1650,1750
painting_4,sold,Math-T1,2300,2300,1400,2000,2200,1900
painting_5,sold,Math-T1,2750,2750,1750,1350,2650,1250
painting_6,sold,Mimic-Grok,2500,450,2100,2500,2400,2200
painting_7,sold,Mimic-GPT-5.4,3000,550,3000,,2900,2100
painting_8,sold,Mimic-Opus,2400,500,1700,1400,2400,2300
painting_9,sold,Mimic-Pro,2800,400,2700,2400,1800,2800
painting_10,sold,Mimic-Grok,3750,550,3500,3750,3250,2600
painting_11,sold,Mimic-Opus,6000,500,5250,1600,6000,5750
painting_12,sold,Mimic-GPT-5.4,6250,350,6250,,950,5750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,5,550,9450,0.945,12,12,0,3012.5
Mimic-GPT-5.4,2,750,9250,0.925,12,12,0,3012.5
Mimic-Grok,2,3750,6250,0.625,12,12,0,3012.5
Mimic-Opus,2,1600,8400,0.84,12,12,0,3012.5
Mimic-Pro,1,7200,2800,0.28,12,12,0,3012.5
