Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1200,750,850,950,1100,1200
painting_2,sold,Mimic-Llama,2100,900,1600,2100,1400,1800
painting_3,sold,Mimic-Opus,1850,800,950,1750,1850,1350
painting_4,sold,Mimic-GPT-5.4,1200,1100,1200,700,1000,900
painting_5,sold,Mimic-Llama,2000,1300,1500,2000,900,1900
painting_6,sold,Mimic-Llama,1700,1500,1300,1700,1000,1200
painting_7,sold,Math-T2,1700,1700,1600,1300,950,1500
painting_8,sold,Mimic-Pro,2150,1550,2050,950,1450,2150
painting_9,sold,Mimic-GPT-5.4,2800,1900,2800,2700,1800,2100
painting_10,sold,Math-T2,2700,2700,1800,1300,2600,1700
painting_11,sold,Mimic-Opus,4250,2800,3750,4000,4250,1700
painting_12,sold,Mimic-Pro,5500,5000,4750,2900,3000,5500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,5600,4400,0.44,12,12,0,2429.167
Mimic-GPT-5.4,2,6000,4000,0.4,12,12,0,2429.167
Mimic-Llama,3,4200,5800,0.58,12,12,0,2429.167
Mimic-Opus,2,3900,6100,0.61,12,12,0,2429.167
Mimic-Pro,3,1150,8850,0.885,12,12,0,2429.167
