Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1200,800,1100,200,1200,1000
painting_2,sold,Math-T2,950,950,650,700,450,900
painting_3,sold,Mimic-Pro,1200,950,1000,850,1100,1200
painting_4,sold,Mimic-GPT-5.4,1500,900,1500,1200,1000,1300
painting_5,sold,Math-T2,1100,1100,650,950,700,1000
painting_6,sold,Mimic-Grok,1300,950,1200,1300,750,900
painting_7,sold,Mimic-GPT-5.4,1500,950,1500,1300,1100,1400
painting_8,sold,Mimic-Pro,1900,1100,1200,1600,1400,1900
painting_9,sold,Mimic-Grok,2500,1700,1400,2500,2300,1200
painting_10,sold,Mimic-Opus,2700,2600,2300,1200,2700,2500
painting_11,sold,Mimic-Pro,4250,4000,3500,2600,2500,4250
painting_12,sold,Math-T2,5500,5500,4750,1500,5250,800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,2450,7550,0.755,12,12,0,2133.333
Mimic-GPT-5.4,2,7000,3000,0.3,12,12,0,2133.333
Mimic-Grok,2,6200,3800,0.38,12,12,0,2133.333
Mimic-Opus,2,6100,3900,0.39,12,12,0,2133.333
Mimic-Pro,3,2650,7350,0.735,12,12,0,2133.333
