Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T4,1500,1500,1400,,1000,1300
painting_2,sold,Math-T4,3500,3500,1000,1500,3250,950
painting_3,sold,Mimic-Llama,4300,3800,1650,1250,4300,1450
painting_4,sold,Math-T4,2900,2900,1300,1500,2800,2300
painting_5,sold,Mimic-Llama,2700,2100,2000,1600,2700,2600
painting_6,sold,Mimic-Opus,3000,2100,2900,350,2300,3000
painting_7,sold,Mimic-GPT-5.4,2900,2100,2900,2700,2800,2500
painting_8,sold,Mimic-Grok,4250,2050,4000,4250,3000,2350
painting_9,sold,Mimic-GPT-5.4,4600,1700,4600,3350,2800,4350
painting_10,sold,Mimic-Opus,6000,1700,2200,5750,3000,6000
painting_11,sold,Mimic-Grok,2600,2000,2500,2600,,1000
painting_12,sold,Mimic-Llama,2500,1900,2300,800,2500,950

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,2100,7900,0.79,12,12,0,3395.833
Mimic-GPT-5.4,2,2500,7500,0.75,12,12,0,3395.833
Mimic-Grok,2,3150,6850,0.685,12,12,0,3395.833
Mimic-Llama,3,500,9500,0.95,12,12,0,3395.833
Mimic-Opus,2,1000,9000,0.9,12,12,0,3395.833
