Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Math-T3,max_bid_Opus
painting_1,sold,Llama,900,850,650,900,750,700
painting_2,sold,Llama,1100,850,900,1100,1000,950
painting_3,sold,Opus,1400,1100,900,800,1300,1400
painting_4,sold,Math-T3,1500,1400,900,800,1500,700
painting_5,sold,Llama,1300,1100,650,1300,1200,900
painting_6,sold,Llama,1600,1200,1300,1600,1400,950
painting_7,sold,Math-T3,2300,2200,1600,800,2300,1300
painting_8,sold,Grok,2000,1900,2000,1100,1800,1400
painting_9,sold,GPT-5.4,2500,2500,1700,1100,2400,2100
painting_10,sold,Math-T3,2900,2300,2700,2200,2900,2800
painting_11,sold,Grok,4500,3750,4500,,,4250
painting_12,sold,Opus,7550,100,,,,7550

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,1,7500,2500,0.25,12,12,0,2462.5
Grok,2,3500,6500,0.65,12,12,0,2462.5
Llama,4,5100,4900,0.49,12,12,0,2462.5
Math-T3,3,3300,6700,0.67,12,12,0,2462.5
Opus,2,1050,8950,0.895,12,12,0,2462.5
