Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1400,500,100,1400,1300,
painting_2,sold,Llama,2000,900,100,2000,1800,
painting_3,sold,Opus,550,500,100,,550,
painting_4,sold,GPT-5.4,800,800,100,750,550,250
painting_5,sold,GPT-5.4,700,700,100,,650,
painting_6,sold,GPT-5.4,850,850,100,250,800,
painting_7,sold,Opus,300,,100,250,300,200
painting_8,sold,GPT-5.4,350,350,300,,,
painting_9,sold,GPT-5.4,250,250,100,,,200
painting_10,sold,Grok,500,150,500,,,
painting_11,sold,Grok,9150,,9150,200,1100,
painting_12,sold,Opus,7300,7050,350,,7300,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,5,7050,2950,0.295,12,12,0,2012.5
Grok,2,350,9650,0.965,12,12,0,2012.5
Llama,2,6600,3400,0.34,12,12,0,2012.5
Opus,3,1850,8150,0.815,12,12,0,2012.5
Pro,0,10000,0,0.0,12,12,0,2012.5
