Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1500,1500,850,1000,1400,950
painting_2,sold,Math-T1,4250,4250,1100,650,4000,1200
painting_3,sold,Mimic-Llama,4050,3800,1850,1050,4050,1550
painting_4,sold,Mimic-Llama,4250,4000,1300,2200,4250,2100
painting_5,sold,Math-T1,2300,2300,2200,2000,1200,1900
painting_6,sold,Mimic-GPT-5.4,2400,1400,2400,2300,1500,2100
painting_7,sold,Mimic-Grok,3750,1700,2900,3750,1000,3000
painting_8,sold,Mimic-Pro,4250,1500,4000,1400,1700,4250
painting_9,sold,Mimic-GPT-5.4,2200,1900,2200,500,1500,2100
painting_10,sold,Mimic-Grok,5500,1900,2700,5500,1500,5000
painting_11,sold,Mimic-Pro,5750,1850,5400,300,1450,5750
painting_12,sold,Mimic-GPT-5.4,2000,1900,2000,400,1700,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,1950,8050,0.805,12,12,0,3516.667
Mimic-GPT-5.4,3,3400,6600,0.66,12,12,0,3516.667
Mimic-Grok,2,750,9250,0.925,12,12,0,3516.667
Mimic-Llama,2,1700,8300,0.83,12,12,0,3516.667
Mimic-Pro,2,0,10000,1.0,12,12,0,3516.667
