Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1300,1300,200,850,750,1200
painting_2,sold,Mimic-Llama,1900,1700,700,1900,1800,1300
painting_3,sold,Math-T5,2200,2200,250,1900,2100,1500
painting_4,sold,Mimic-Llama,2600,1800,2300,2600,2400,2100
painting_5,sold,Math-T5,2150,2150,1050,900,2050,1650
painting_6,sold,Mimic-Llama,3500,2900,1800,3500,3000,1700
painting_7,sold,Mimic-Opus,4500,4250,2400,1400,4500,2000
painting_8,sold,Math-T5,3500,3500,3250,1500,2000,3000
painting_9,sold,Mimic-Grok,4250,,4250,2000,2700,4000
painting_10,sold,Mimic-Pro,2300,,1800,2000,2200,2300
painting_11,sold,Mimic-Pro,3500,,250,1800,3000,3500
painting_12,sold,Mimic-Grok,5500,,5500,1800,5250,3750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,850,9150,0.915,12,12,0,3100.0
Mimic-Grok,2,250,9750,0.975,12,12,0,3100.0
Mimic-Llama,3,2000,8000,0.8,12,12,0,3100.0
Mimic-Opus,1,5500,4500,0.45,12,12,0,3100.0
Mimic-Pro,2,4200,5800,0.58,12,12,0,3100.0
