Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1300,800,900,950,1300,1200
painting_2,sold,Mimic-GPT-5.4,1200,1000,1200,650,550,950
painting_3,sold,Mimic-Llama,1800,1000,900,700,1800,1700
painting_4,sold,Math-T3,1000,1000,800,500,950,
painting_5,sold,Mimic-Pro,1300,1200,900,700,600,1300
painting_6,sold,Mimic-Pro,1600,1200,1000,350,1400,1600
painting_7,sold,Mimic-Llama,2400,2000,1800,2200,2400,750
painting_8,sold,Mimic-Grok,2950,2650,2150,2950,850,1150
painting_9,sold,Math-T3,3350,3350,3100,1100,1500,1700
painting_10,sold,Mimic-GPT-5.4,4000,3250,4000,2900,2200,3750
painting_11,sold,Mimic-Grok,6250,5500,3000,6250,4500,6000
painting_12,sold,Math-T3,5250,5250,4000,400,3500,5000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,400,9600,0.96,12,12,0,2700.0
Mimic-GPT-5.4,2,4800,5200,0.52,12,12,0,2700.0
Mimic-Grok,2,800,9200,0.92,12,12,0,2700.0
Mimic-Llama,3,4500,5500,0.55,12,12,0,2700.0
Mimic-Pro,2,7100,2900,0.29,12,12,0,2700.0
