Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,950,750,950,650,850,900
painting_2,sold,Mimic-Opus,1300,700,950,1200,1300,1100
painting_3,sold,Mimic-Pro,1200,850,1000,700,500,1200
painting_4,sold,Mimic-Grok,1300,1000,950,1300,1200,800
painting_5,sold,Mimic-Opus,1300,1200,1100,1000,1300,900
painting_6,sold,Mimic-GPT-5.4,1600,1300,1600,300,500,900
painting_7,sold,Math-T2,850,850,700,,600,800
painting_8,sold,Mimic-Pro,2000,1800,1300,1700,750,2000
painting_9,sold,Math-T2,2100,2100,1600,2000,1300,1900
painting_10,sold,Mimic-Grok,2900,2200,2600,2900,1800,2800
painting_11,sold,Math-T2,2900,2900,2600,,2400,2800
painting_12,sold,Mimic-Opus,5050,3300,4050,850,5050,4800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,4150,5850,0.585,12,12,0,1954.167
Mimic-GPT-5.4,2,7450,2550,0.255,12,12,0,1954.167
Mimic-Grok,2,5800,4200,0.42,12,12,0,1954.167
Mimic-Opus,3,2350,7650,0.765,12,12,0,1954.167
Mimic-Pro,2,6800,3200,0.32,12,12,0,1954.167
