Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1400,750,850,1300,700,1400
painting_2,sold,Mimic-Llama,1000,950,700,1000,800,650
painting_3,sold,Mimic-Opus,1300,1000,850,1200,1300,1100
painting_4,sold,Mimic-Llama,1300,900,300,1300,1100,950
painting_5,sold,Mimic-Grok,1300,1200,1300,650,750,1000
painting_6,sold,Mimic-Llama,1600,1500,950,1600,1200,900
painting_7,sold,Mimic-Llama,2000,1600,300,2000,1900,1200
painting_8,sold,Mimic-Opus,2100,1900,1700,750,2100,1500
painting_9,sold,Math-T2,2000,2000,1700,900,1000,1900
painting_10,sold,Mimic-Pro,2800,2600,2300,1300,950,2800
painting_11,sold,Mimic-Grok,4250,4000,4250,1600,1700,1900
painting_12,sold,Math-T2,5250,5250,1100,3000,4000,5000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,2750,7250,0.725,12,12,0,2191.667
Mimic-Grok,2,4450,5550,0.555,12,12,0,2191.667
Mimic-Llama,4,4100,5900,0.59,12,12,0,2191.667
Mimic-Opus,2,6600,3400,0.34,12,12,0,2191.667
Mimic-Pro,2,5800,4200,0.42,12,12,0,2191.667
