Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,1400,750,1400,1100,950,1300
painting_2,sold,Mimic-Llama,1900,1000,950,1900,1800,1300
painting_3,sold,Mimic-Opus,1700,950,900,1500,1700,1100
painting_4,sold,Mimic-Pro,1500,1100,1400,1200,950,1500
painting_5,sold,Mimic-Opus,1500,1200,1100,1300,1500,950
painting_6,sold,Mimic-Llama,2000,1900,1800,2000,300,1000
painting_7,sold,Mimic-Llama,2600,2500,2200,2600,700,1000
painting_8,sold,Math-T3,2500,2500,2400,1700,2300,2200
painting_9,sold,Mimic-GPT-5.4,2950,2850,2950,1850,1450,2350
painting_10,sold,Math-T3,5250,5250,2600,2200,2900,5000
painting_11,sold,Mimic-Pro,4000,2000,3750,3000,3500,4000
painting_12,sold,Mimic-Opus,5750,2100,5500,3000,5750,4250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,2,2250,7750,0.775,12,12,0,2754.167
Mimic-GPT-5.4,2,5650,4350,0.435,12,12,0,2754.167
Mimic-Llama,3,3500,6500,0.65,12,12,0,2754.167
Mimic-Opus,3,1050,8950,0.895,12,12,0,2754.167
Mimic-Pro,2,4500,5500,0.55,12,12,0,2754.167
