Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1850,1850,900,400,1750,750
painting_2,sold,Math-T1,1250,1250,1150,850,1050,950
painting_3,sold,Math-T1,1850,1850,1050,550,1750,1250
painting_4,sold,Math-T1,1900,1900,1400,1800,1300,1200
painting_5,sold,Math-T1,2000,2000,1200,1900,1800,1700
painting_6,sold,Mimic-Pro,2450,850,2150,1750,2350,2450
painting_7,sold,Mimic-GPT-5.4,2200,850,2200,1500,2100,1200
painting_8,sold,Mimic-Grok,2450,950,1850,2450,2250,1550
painting_9,sold,Mimic-Opus,2600,850,2400,1500,2600,2500
painting_10,sold,Mimic-Pro,3100,800,2800,2400,2700,3100
painting_11,sold,Mimic-Grok,5750,950,5250,5750,2600,
painting_12,sold,Mimic-GPT-5.4,7250,950,7250,,7000,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,5,1150,8850,0.885,12,12,0,2887.5
Mimic-GPT-5.4,2,550,9450,0.945,12,12,0,2887.5
Mimic-Grok,2,1800,8200,0.82,12,12,0,2887.5
Mimic-Opus,1,7400,2600,0.26,12,12,0,2887.5
Mimic-Pro,2,4450,5550,0.555,12,12,0,2887.5
