Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1200,650,400,1100,900,1200
painting_2,sold,Mimic-Llama,1000,900,350,1000,950,300
painting_3,sold,Mimic-Llama,1500,800,1400,1500,900,1300
painting_4,sold,Mimic-Opus,1400,900,1200,1000,1400,1100
painting_5,sold,Math-T2,1100,1100,900,800,1000,850
painting_6,sold,Mimic-Llama,1500,1300,800,1500,900,700
painting_7,sold,Mimic-Opus,1650,1150,1550,900,1650,1450
painting_8,sold,Mimic-Grok,2450,1550,2450,2050,800,2250
painting_9,sold,Mimic-Pro,2450,2250,2150,1350,1750,2450
painting_10,sold,Mimic-Pro,3000,2800,2700,2900,1800,3000
painting_11,sold,Math-T2,4000,4000,2800,3750,2400,2700
painting_12,sold,Mimic-Opus,5250,4500,3250,5000,5250,1100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,4900,5100,0.51,12,12,0,2208.333
Mimic-Grok,1,7550,2450,0.245,12,12,0,2208.333
Mimic-Llama,3,6000,4000,0.4,12,12,0,2208.333
Mimic-Opus,3,1700,8300,0.83,12,12,0,2208.333
Mimic-Pro,3,3350,6650,0.665,12,12,0,2208.333
