Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T4,1500,1500,950,1000,1400,850
painting_2,sold,Mimic-Llama,4250,3750,900,400,4250,1000
painting_3,sold,Math-T4,2000,2000,750,850,550,1900
painting_4,sold,Math-T4,2350,2350,1350,1450,1650,2250
painting_5,sold,Mimic-Llama,4000,3750,1900,2000,4000,2400
painting_6,sold,Math-T4,3750,3750,3000,2600,1500,3500
painting_7,sold,Mimic-Opus,4500,,4250,2800,1200,4500
painting_8,sold,Mimic-GPT-5.4,4300,,4300,4050,1750,1850
painting_9,sold,Mimic-GPT-5.4,4100,350,4100,3850,1400,3350
painting_10,sold,Mimic-Grok,3600,350,1300,3600,1500,3350
painting_11,sold,Mimic-Opus,5250,400,1300,5000,1500,5250
painting_12,sold,Mimic-Grok,1700,300,1400,1700,1600,250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,400,9600,0.96,12,12,0,3441.667
Mimic-GPT-5.4,2,1600,8400,0.84,12,12,0,3441.667
Mimic-Grok,2,4700,5300,0.53,12,12,0,3441.667
Mimic-Llama,2,1750,8250,0.825,12,12,0,3441.667
Mimic-Opus,2,250,9750,0.975,12,12,0,3441.667
