Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2620.833

painting_1 | status=sold | winner=Math-T5 | winning_bid=1000
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T5 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Opus RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 450 (before=300, leader_after=bidder_1)
  turn 7: Math-T5 RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Pro RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Opus RAISE to 700 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Grok PASS (before=700, leader_after=bidder_5)
  turn 12: Math-T5 RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Pro RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Mimic-Opus PASS (before=850, leader_after=bidder_4)
  turn 16: Math-T5 RAISE to 900 (before=850, leader_after=bidder_2)
  turn 17: Mimic-Pro RAISE to 950 (before=900, leader_after=bidder_3)
  turn 18: Mimic-GPT-5.4 PASS (before=950, leader_after=bidder_3)
  turn 19: Math-T5 RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 20: Mimic-Pro PASS (before=1000, leader_after=bidder_2)

painting_2 | status=sold | winner=Math-T5 | winning_bid=1700
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T5 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Pro RAISE to 250 (before=150, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-Opus RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 450 (before=350, leader_after=bidder_1)
  turn 7: Math-T5 RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Pro RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 700 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Opus RAISE to 750 (before=700, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 800 (before=750, leader_after=bidder_1)
  turn 12: Math-T5 RAISE to 850 (before=800, leader_after=bidder_2)
  turn 13: Mimic-Pro RAISE to 950 (before=850, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 15: Mimic-Opus RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 16: Mimic-Grok PASS (before=1100, leader_after=bidder_5)
  turn 17: Math-T5 RAISE to 1200 (before=1100, leader_after=bidder_2)
  turn 18: Mimic-Pro RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 19: Mimic-GPT-5.4 PASS (before=1300, leader_after=bidder_3)
  turn 20: Mimic-Opus RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 21: Math-T5 RAISE to 1500 (before=1400, leader_after=bidder_2)
  turn 22: Mimic-Pro RAISE to 1600 (before=1500, leader_after=bidder_3)
  turn 23: Mimic-Opus PASS (before=1600, leader_after=bidder_3)
  turn 24: Math-T5 RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 25: Mimic-Pro PASS (before=1700, leader_after=bidder_2)

painting_3 | status=sold | winner=Mimic-Pro | winning_bid=1200
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T5 PASS (before=100, leader_after=bidder_1)
  turn 3: Mimic-Pro RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Mimic-Opus RAISE to 300 (before=200, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Mimic-Pro RAISE to 400 (before=350, leader_after=bidder_3)
  turn 8: Mimic-GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_4)
  turn 9: Mimic-Opus RAISE to 550 (before=450, leader_after=bidder_5)
  turn 10: Mimic-Grok RAISE to 600 (before=550, leader_after=bidder_1)
  turn 11: Mimic-Pro RAISE to 650 (before=600, leader_after=bidder_3)
  turn 12: Mimic-GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_4)
  turn 13: Mimic-Opus RAISE to 800 (before=700, leader_after=bidder_5)
  turn 14: Mimic-Grok RAISE to 850 (before=800, leader_after=bidder_1)
  turn 15: Mimic-Pro RAISE to 900 (before=850, leader_after=bidder_3)
  turn 16: Mimic-GPT-5.4 RAISE to 1000 (before=900, leader_after=bidder_4)
