Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1200,1200,1100,550,750,1000
painting_2,sold,Mimic-Llama,2000,1800,1500,950,2000,1300
painting_3,sold,Math-T5,2000,2000,1200,550,1900,1000
painting_4,sold,Mimic-Llama,2100,2000,1400,1700,2100,1200
painting_5,sold,Math-T5,1900,1900,1800,900,1200,1600
painting_6,sold,Mimic-Llama,3750,3250,2100,2000,3750,1900
painting_7,sold,Math-T5,3250,3250,3000,2400,1600,2700
painting_8,sold,Mimic-GPT-5.4,2600,300,2600,2300,2000,2500
painting_9,sold,Mimic-Grok,4750,600,4250,4750,1900,4500
painting_10,sold,Mimic-GPT-5.4,6000,,6000,850,2000,5750
painting_11,sold,Mimic-Pro,4250,,1100,4000,1900,4250
painting_12,sold,Mimic-Pro,5750,,1000,5250,1900,5750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,1650,8350,0.835,12,12,0,3295.833
Mimic-GPT-5.4,2,1400,8600,0.86,12,12,0,3295.833
Mimic-Grok,1,5250,4750,0.475,12,12,0,3295.833
Mimic-Llama,3,2150,7850,0.785,12,12,0,3295.833
Mimic-Pro,2,0,10000,1.0,12,12,0,3295.833
