Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1200,1200,300,1100,800,250
painting_2,sold,Mimic-Llama,4250,4000,850,4250,700,1000
painting_3,sold,Math-T4,1700,1700,600,950,1600,1300
painting_4,sold,Math-T4,3800,3800,750,3550,1950,1450
painting_5,sold,Mimic-Llama,3500,3250,1900,3500,2100,1800
painting_6,sold,Mimic-Opus,3200,2900,2400,1800,3200,2300
painting_7,sold,Mimic-Grok,3250,3000,3250,1900,2400,2800
painting_8,sold,Mimic-Pro,3750,3250,2500,1800,2200,3750
painting_9,sold,Mimic-Grok,5750,3000,5750,2100,5500,5000
painting_10,sold,Mimic-Opus,6250,3250,800,1900,6250,6000
painting_11,sold,Mimic-Pro,3500,3000,1000,2000,450,3500
painting_12,sold,Math-T4,2500,2500,1000,2100,450,2400

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,800,9200,0.92,12,12,0,3554.167
Mimic-Grok,2,1000,9000,0.9,12,12,0,3554.167
Mimic-Llama,2,2250,7750,0.775,12,12,0,3554.167
Mimic-Opus,2,550,9450,0.945,12,12,0,3554.167
Mimic-Pro,2,2750,7250,0.725,12,12,0,3554.167
