Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1400,1200,,1000,1300,1400
painting_2,sold,Mimic-Llama,1500,1200,1400,1500,1300,750
painting_3,sold,Mimic-Pro,1600,1300,750,1100,1400,1600
painting_4,sold,Mimic-Llama,2500,2200,1800,2500,2400,650
painting_5,sold,Mimic-Opus,1900,1200,450,1800,1900,650
painting_6,sold,Mimic-Llama,1800,1700,1400,1800,1200,700
painting_7,sold,Mimic-GPT-5.4,2100,2100,1900,1500,1700,700
painting_8,sold,Mimic-Grok,3750,2400,3750,3500,1700,1100
painting_9,sold,Mimic-GPT-5.4,3300,3300,1150,1950,3050,100
painting_10,sold,Mimic-Opus,3500,2100,3250,2800,3500,3000
painting_11,sold,Mimic-Pro,6300,4050,6050,3800,2150,6300
painting_12,sold,Mimic-Grok,4700,4450,4700,4200,3500,700

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,4600,5400,0.54,12,12,0,2862.5
Mimic-Grok,2,1550,8450,0.845,12,12,0,2862.5
Mimic-Llama,3,4200,5800,0.58,12,12,0,2862.5
Mimic-Opus,2,4600,5400,0.54,12,12,0,2862.5
Mimic-Pro,3,700,9300,0.93,12,12,0,2862.5
