Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1350,950,450,1350,1250,1150
painting_2,sold,Mimic-Pro,1500,1100,1200,850,1400,1500
painting_3,sold,Mimic-Llama,1100,1000,,1100,900,850
painting_4,sold,Mimic-Opus,1800,1000,1100,800,1800,1600
painting_5,sold,Mimic-Opus,1800,1600,1700,900,1800,1000
painting_6,sold,Mimic-Llama,1600,1400,400,1600,,1000
painting_7,sold,Mimic-GPT-5.4,1700,1700,1500,700,1200,1600
painting_8,sold,Mimic-Llama,4350,2300,3850,4350,1000,1400
painting_9,sold,Mimic-Grok,2500,2300,2500,1600,900,2000
painting_10,sold,Mimic-GPT-5.4,3750,3750,2400,1500,2200,3250
painting_11,sold,Mimic-Pro,5000,2900,4750,1500,3500,5000
painting_12,sold,Mimic-Grok,6000,4000,6000,1400,5500,2900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,4550,5450,0.545,12,12,0,2704.167
Mimic-Grok,2,1500,8500,0.85,12,12,0,2704.167
Mimic-Llama,4,1600,8400,0.84,12,12,0,2704.167
Mimic-Opus,2,6400,3600,0.36,12,12,0,2704.167
Mimic-Pro,2,3500,6500,0.65,12,12,0,2704.167
