Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,950,,900,650,950,850
painting_2,sold,Math-T5,1400,1400,950,800,600,1300
painting_3,sold,Math-T5,1600,1600,1000,750,1100,1500
painting_4,sold,Mimic-Llama,2100,2000,1400,1200,2100,1800
painting_5,sold,Mimic-Llama,2500,2400,1300,750,2500,1800
painting_6,sold,Math-T5,2350,2350,2250,2050,,1950
painting_7,sold,Math-T5,3500,3500,3250,1900,2500,2300
painting_8,sold,Mimic-Llama,4250,100,4000,3750,4250,2900
painting_9,sold,Mimic-GPT-5.4,2700,,2700,2600,,2400
painting_10,sold,Mimic-Grok,6400,300,6150,6400,,4150
painting_11,sold,Mimic-GPT-5.4,950,,950,400,,850
painting_12,sold,Mimic-Pro,6250,,6000,200,,6250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,1150,8850,0.885,12,12,0,2912.5
Mimic-GPT-5.4,2,6350,3650,0.365,12,12,0,2912.5
Mimic-Grok,1,3600,6400,0.64,12,12,0,2912.5
Mimic-Llama,4,200,9800,0.98,12,12,0,2912.5
Mimic-Pro,1,3750,6250,0.625,12,12,0,2912.5
