Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1300,1300,750,650,1100,1200
painting_2,sold,Math-T1,4000,4000,1200,,3750,1600
painting_3,sold,Mimic-Llama,4850,4600,1300,850,4850,1700
painting_4,sold,Math-T1,3050,3050,1850,1650,2950,1250
painting_5,sold,Mimic-Llama,2750,1350,2650,1750,2750,100
painting_6,sold,Mimic-GPT-5.4,2800,1500,2800,2700,2100,2000
painting_7,sold,Mimic-Pro,2700,1200,2600,2500,2400,2700
painting_8,sold,Mimic-Grok,4500,1300,4000,4500,2400,1900
painting_9,sold,Mimic-Pro,4750,1600,4500,2300,2100,4750
painting_10,sold,Mimic-GPT-5.4,4100,1200,4100,3850,2300,2100
painting_11,sold,Mimic-Grok,3250,1200,3000,3250,2300,2200
painting_12,sold,Mimic-GPT-5.4,2600,1000,2600,2100,1900,2500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,1650,8350,0.835,12,12,0,3387.5
Mimic-GPT-5.4,3,500,9500,0.95,12,12,0,3387.5
Mimic-Grok,2,2250,7750,0.775,12,12,0,3387.5
Mimic-Llama,2,2400,7600,0.76,12,12,0,3387.5
Mimic-Pro,2,2550,7450,0.745,12,12,0,3387.5
