Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1100,950,800,1000,550,1100
painting_2,sold,Mimic-Llama,1400,1000,450,1400,1200,600
painting_3,sold,Mimic-Opus,1300,1200,750,1000,1300,650
painting_4,sold,Mimic-Opus,1600,1100,1500,900,1600,1400
painting_5,sold,Mimic-Llama,1700,1500,1600,1700,450,1400
painting_6,sold,Mimic-Llama,1850,1750,1150,1850,450,1350
painting_7,sold,Mimic-GPT-5.4,1500,1500,1400,1200,750,850
painting_8,sold,Mimic-Llama,2350,2050,2250,2350,1650,1950
painting_9,sold,Mimic-Grok,2050,1950,2050,550,800,1850
painting_10,sold,Mimic-GPT-5.4,3250,3250,2400,750,1800,3000
painting_11,sold,Mimic-Grok,2850,2750,2850,1450,1950,2550
painting_12,sold,Mimic-Pro,5750,3500,700,1800,5250,5750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,5250,4750,0.475,12,12,0,2225.0
Mimic-Grok,2,5100,4900,0.49,12,12,0,2225.0
Mimic-Llama,4,2700,7300,0.73,12,12,0,2225.0
Mimic-Opus,2,7100,2900,0.29,12,12,0,2225.0
Mimic-Pro,2,3150,6850,0.685,12,12,0,2225.0
