Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1750,800,1150,900,1650,1750
painting_2,sold,Mimic-Llama,1600,1400,950,1600,1200,700
painting_3,sold,Mimic-Llama,1700,1500,,1700,1400,1000
painting_4,sold,Mimic-Opus,1500,1400,,600,1500,1200
painting_5,sold,Mimic-GPT-5.4,1100,1100,900,800,850,1000
painting_6,sold,Mimic-Llama,2000,1400,1900,2000,,750
painting_7,sold,Mimic-Llama,2300,1300,2200,2300,1500,1800
painting_8,sold,Mimic-GPT-5.4,1900,1900,1300,550,1700,1800
painting_9,sold,Mimic-Grok,2700,1800,2700,900,2600,2200
painting_10,sold,Mimic-Opus,2900,2800,2700,850,2900,2400
painting_11,sold,Mimic-GPT-5.4,4000,4000,3750,1600,1700,2800
painting_12,sold,Mimic-Opus,2600,2100,300,2300,2600,2500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,3,3000,7000,0.7,12,12,0,2170.833
Mimic-Grok,1,7300,2700,0.27,12,12,0,2170.833
Mimic-Llama,4,2400,7600,0.76,12,12,0,2170.833
Mimic-Opus,3,3000,7000,0.7,12,12,0,2170.833
Mimic-Pro,1,8250,1750,0.175,12,12,0,2170.833
