Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1300,750,950,350,1300,1200
painting_2,sold,Mimic-Opus,1200,800,1000,650,1200,1100
painting_3,sold,Math-T3,1250,1250,1150,850,400,1050
painting_4,sold,Mimic-Pro,1450,850,1250,950,750,1450
painting_5,sold,Mimic-GPT-5.4,1200,900,1200,1000,,950
painting_6,sold,Mimic-Grok,1400,1300,1200,1400,800,1000
painting_7,sold,Mimic-Pro,2100,1600,2000,1800,750,2100
painting_8,sold,Math-T3,2000,2000,1900,850,900,800
painting_9,sold,Mimic-Grok,2750,1850,2150,2750,1650,2650
painting_10,sold,Mimic-GPT-5.4,3750,3000,3750,1300,2300,2100
painting_11,sold,Math-T3,4750,4750,2700,2000,4500,3500
painting_12,sold,Mimic-Opus,4500,2000,3500,1700,4500,4250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,2000,8000,0.8,12,12,0,2304.167
Mimic-GPT-5.4,2,5050,4950,0.495,12,12,0,2304.167
Mimic-Grok,2,5850,4150,0.415,12,12,0,2304.167
Mimic-Opus,3,3000,7000,0.7,12,12,0,2304.167
Mimic-Pro,2,6450,3550,0.355,12,12,0,2304.167
