Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2729.167

painting_1 | status=sold | winner=Math-T4 | winning_bid=1200
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Pro RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Math-T4 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-GPT-5.4 RAISE to 350 (before=250, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Math-T4 RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Mimic-GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Grok PASS (before=600, leader_after=bidder_5)
  turn 12: Mimic-Opus RAISE to 700 (before=600, leader_after=bidder_2)
  turn 13: Mimic-Pro RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Math-T4 RAISE to 800 (before=750, leader_after=bidder_4)
  turn 15: Mimic-GPT-5.4 RAISE to 900 (before=800, leader_after=bidder_5)
  turn 16: Mimic-Opus PASS (before=900, leader_after=bidder_5)
  turn 17: Mimic-Pro RAISE to 950 (before=900, leader_after=bidder_3)
  turn 18: Math-T4 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 19: Mimic-GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 20: Mimic-Pro PASS (before=1100, leader_after=bidder_5)
  turn 21: Math-T4 RAISE to 1200 (before=1100, leader_after=bidder_4)
  turn 22: Mimic-GPT-5.4 PASS (before=1200, leader_after=bidder_4)

painting_2 | status=sold | winner=Math-T4 | winning_bid=1200
  turn 1: Mimic-Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Opus RAISE to 200 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Pro RAISE to 250 (before=200, leader_after=bidder_3)
  turn 4: Math-T4 RAISE to 300 (before=250, leader_after=bidder_4)
  turn 5: Mimic-GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Grok RAISE to 400 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Opus RAISE to 450 (before=400, leader_after=bidder_2)
  turn 8: Mimic-Pro RAISE to 500 (before=450, leader_after=bidder_3)
  turn 9: Math-T4 RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Mimic-GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_5)
  turn 11: Mimic-Grok RAISE to 700 (before=600, leader_after=bidder_1)
  turn 12: Mimic-Opus RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Pro RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Math-T4 RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-Grok PASS (before=900, leader_after=bidder_5)
  turn 17: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_2)
  turn 18: Mimic-Pro PASS (before=950, leader_after=bidder_2)
  turn 19: Math-T4 RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: Mimic-GPT-5.4 PASS (before=1000, leader_after=bidder_4)
