Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1200,1200,1100,400,700,950
painting_2,sold,Math-T4,1200,1200,900,700,1100,800
painting_3,sold,Math-T4,1600,1600,1400,1500,1100,1200
painting_4,sold,Math-T4,1600,1600,1200,1300,1400,1500
painting_5,sold,Math-T4,2000,2000,1500,1900,1700,1300
painting_6,sold,Math-T4,2100,2100,1900,700,2000,1700
painting_7,sold,Mimic-Grok,2700,250,2500,2700,2200,2300
painting_8,sold,Mimic-Opus,4300,300,4050,1850,4300,2050
painting_9,sold,Mimic-GPT-5.4,3850,300,3850,1400,1500,3350
painting_10,sold,Mimic-GPT-5.4,2700,300,2700,2600,2100,800
painting_11,sold,Mimic-Pro,3550,250,3300,2550,2750,3550
painting_12,sold,Mimic-Grok,5950,300,2950,5950,5700,4400

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,6,300,9700,0.97,12,12,0,2729.167
Mimic-GPT-5.4,2,3450,6550,0.655,12,12,0,2729.167
Mimic-Grok,2,1350,8650,0.865,12,12,0,2729.167
Mimic-Opus,1,5700,4300,0.43,12,12,0,2729.167
Mimic-Pro,1,6450,3550,0.355,12,12,0,2729.167
