Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,GPT-5.4,1100,1100,650,950,1000,750
painting_2,sold,Llama,1200,650,850,1200,800,1000
painting_3,sold,Llama,1900,900,850,1900,1800,950
painting_4,sold,Pro,1200,900,1100,750,1000,1200
painting_5,sold,Grok,1300,900,1300,750,1200,950
painting_6,sold,Llama,3000,1600,1200,3000,2600,950
painting_7,sold,Opus,1500,1400,1000,500,1500,1200
painting_8,sold,Opus,1800,1700,1600,800,1800,1400
painting_9,sold,GPT-5.4,2200,2200,1700,1000,800,2100
painting_10,sold,Pro,2900,2200,2800,1000,1100,2900
painting_11,sold,Pro,3900,2900,1200,3250,3500,3900
painting_12,sold,Opus,6700,5250,100,3750,6700,2000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,6700,3300,0.33,12,12,0,2391.667
Grok,1,8700,1300,0.13,12,12,0,2391.667
Llama,3,3900,6100,0.61,12,12,0,2391.667
Opus,3,0,10000,1.0,12,12,0,2391.667
Pro,3,2000,8000,0.8,12,12,0,2391.667
