Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,900,700,350,800,400,900
painting_2,sold,Mimic-Llama,1200,850,1000,1200,1100,950
painting_3,sold,Mimic-Llama,1200,1100,900,1200,950,850
painting_4,sold,Mimic-Opus,1500,1200,1400,1100,1500,1300
painting_5,sold,Math-T3,1000,1000,950,850,150,750
painting_6,sold,Mimic-Llama,1500,1400,400,1500,650,1100
painting_7,sold,Mimic-Grok,2300,2100,2300,1500,1400,2200
painting_8,sold,Math-T3,2050,2050,1450,1650,1950,1850
painting_9,sold,Mimic-Pro,2600,2100,2400,2000,2500,2600
painting_10,sold,Math-T3,2800,2800,2600,2300,2700,2500
painting_11,sold,Mimic-Opus,5800,3050,3800,4800,5800,5550
painting_12,sold,Mimic-Llama,5500,3000,5000,5500,2700,4500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,4150,5850,0.585,12,12,0,2362.5
Mimic-Grok,1,7700,2300,0.23,12,12,0,2362.5
Mimic-Llama,4,600,9400,0.94,12,12,0,2362.5
Mimic-Opus,2,2700,7300,0.73,12,12,0,2362.5
Mimic-Pro,2,6500,3500,0.35,12,12,0,2362.5
