Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1200,,650,100,1000,1200
painting_2,sold,Mimic-Llama,2200,2000,1100,1400,2200,850
painting_3,sold,Math-T5,1100,1100,950,500,1000,800
painting_4,sold,Math-T5,1700,1700,1200,1100,1600,850
painting_5,sold,Mimic-Llama,2600,2500,1500,1900,2600,1600
painting_6,sold,Math-T5,2200,2200,1900,2100,1000,1500
painting_7,sold,Math-T5,4000,4000,2900,2800,3750,2400
painting_8,sold,Mimic-Llama,4400,350,3900,2850,4400,1950
painting_9,sold,Mimic-GPT-5.4,3250,100,3250,3000,650,2200
painting_10,sold,Mimic-Grok,5500,,5000,5500,550,4000
painting_11,sold,Mimic-Pro,6500,,6000,1200,750,6500
painting_12,sold,Mimic-GPT-5.4,4750,,4750,4500,800,2000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,1000,9000,0.9,12,12,0,3283.333
Mimic-GPT-5.4,2,2000,8000,0.8,12,12,0,3283.333
Mimic-Grok,1,4500,5500,0.55,12,12,0,3283.333
Mimic-Llama,3,800,9200,0.92,12,12,0,3283.333
Mimic-Pro,2,2300,7700,0.77,12,12,0,3283.333
