Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Pro,1000,750,800,950,700,1000
painting_2,sold,Llama,1500,900,750,1500,1400,600
painting_3,sold,Grok,1000,950,1000,800,900,850
painting_4,sold,Opus,1100,950,750,1000,1100,850
painting_5,sold,GPT-5.4,1300,1300,1000,1100,900,1200
painting_6,sold,Llama,1600,950,1000,1600,1300,1500
painting_7,sold,Pro,1700,1600,750,1400,1200,1700
painting_8,sold,Opus,2000,200,1800,1900,2000,1600
painting_9,sold,Llama,2400,1900,2300,2400,1400,1800
painting_10,sold,Grok,3500,3250,3500,1200,2200,2100
painting_11,sold,GPT-5.4,7151,7151,,,,6901
painting_12,sold,Pro,7300,,,,,7300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,1549,8451,0.845,12,12,0,2629.25
Grok,2,5500,4500,0.45,12,12,0,2629.25
Llama,3,4500,5500,0.55,12,12,0,2629.25
Opus,2,6900,3100,0.31,12,12,0,2629.25
Pro,3,0,10000,1.0,12,12,0,2629.25
