Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1250,1250,850,1150,800,1050
painting_2,sold,Math-T4,1300,1300,950,700,1200,1100
painting_3,sold,Math-T4,1700,1700,1000,500,1600,1500
painting_4,sold,Math-T4,2200,2200,1000,1200,2100,1400
painting_5,sold,Math-T4,2000,2000,1800,1900,1700,1600
painting_6,sold,Mimic-Opus,2600,1100,1400,2500,2600,2300
painting_7,sold,Mimic-GPT-5.4,1600,1200,1600,1500,750,1300
painting_8,sold,Mimic-Grok,2400,1400,2300,2400,1600,2100
painting_9,sold,Mimic-GPT-5.4,3050,1250,3050,2350,1450,2850
painting_10,sold,Mimic-Pro,2950,1150,2750,2850,2650,2950
painting_11,sold,Mimic-Pro,4250,1100,3000,3250,4000,4250
painting_12,sold,Mimic-Grok,7500,1500,4750,7500,7250,1600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,5,1550,8450,0.845,12,12,0,2733.333
Mimic-GPT-5.4,2,5350,4650,0.465,12,12,0,2733.333
Mimic-Grok,2,100,9900,0.99,12,12,0,2733.333
Mimic-Opus,1,7400,2600,0.26,12,12,0,2733.333
Mimic-Pro,2,2800,7200,0.72,12,12,0,2733.333
