Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1200,1200,350,1100,1000,850
painting_2,sold,Mimic-Llama,2200,1900,1500,2200,2100,2000
painting_3,sold,Math-T5,1600,1600,800,700,1300,1500
painting_4,sold,Math-T5,2400,2400,1600,2000,2300,1700
painting_5,sold,Mimic-Llama,2300,2200,1200,2300,2000,1300
painting_6,sold,Mimic-Llama,3500,3250,1400,3500,2400,2000
painting_7,sold,Math-T5,4350,4350,1800,850,4100,1900
painting_8,sold,Mimic-Opus,2550,,1450,250,2550,2450
painting_9,sold,Mimic-Grok,3750,,3750,1500,3500,2700
painting_10,sold,Mimic-Pro,3450,,550,2000,3200,3450
painting_11,sold,Mimic-Opus,6350,,1700,2000,6350,5850
painting_12,sold,Mimic-Pro,5550,,5300,1950,1050,5550

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,450,9550,0.955,12,12,0,3266.667
Mimic-Grok,1,6250,3750,0.375,12,12,0,3266.667
Mimic-Llama,3,2000,8000,0.8,12,12,0,3266.667
Mimic-Opus,2,1100,8900,0.89,12,12,0,3266.667
Mimic-Pro,2,1000,9000,0.9,12,12,0,3266.667
