Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1450,850,1250,750,950,1450
painting_2,sold,Mimic-Llama,1000,850,950,750,1000,800
painting_3,sold,Mimic-Llama,1450,950,1050,1350,1450,900
painting_4,sold,Mimic-GPT-5.4,1100,1000,1100,650,950,700
painting_5,sold,Math-T2,950,950,900,700,650,750
painting_6,sold,Mimic-Llama,1900,1200,800,1800,1900,1100
painting_7,sold,Mimic-Grok,1900,1200,1300,1900,950,1600
painting_8,sold,Mimic-Pro,2250,1750,1950,2150,2050,2250
painting_9,sold,Mimic-GPT-5.4,2400,2200,2400,2000,1400,2100
painting_10,sold,Math-T2,2800,2800,2700,700,2100,2500
painting_11,sold,Mimic-Pro,4000,3250,2500,3500,2700,4000
painting_12,sold,Math-T2,5750,5750,4750,5500,5000,900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,500,9500,0.95,12,12,0,2245.833
Mimic-GPT-5.4,2,6500,3500,0.35,12,12,0,2245.833
Mimic-Grok,1,8100,1900,0.19,12,12,0,2245.833
Mimic-Llama,3,5650,4350,0.435,12,12,0,2245.833
Mimic-Pro,3,2300,7700,0.77,12,12,0,2245.833
