Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-Llama,950,,700,650,950,850
painting_2,sold,Math-T5,1350,1350,1250,550,900,1050
painting_3,sold,Math-T5,1900,1900,1300,550,950,1800
painting_4,sold,Mimic-Llama,2200,2000,1200,1800,2200,2100
painting_5,sold,Math-T5,2300,2300,1500,900,1600,2200
painting_6,sold,Mimic-Llama,3500,3000,1900,800,3500,2600
painting_7,sold,Mimic-Opus,4750,4250,4000,1300,2300,4750
painting_8,sold,Mimic-Grok,5100,3600,4600,5100,2100,1800
painting_9,sold,Mimic-GPT-5.4,4750,4250,4750,1300,3000,1800
painting_10,sold,Mimic-GPT-5.4,3250,,3250,500,3000,700
painting_11,sold,Mimic-Opus,3250,100,2000,1900,3000,3250
painting_12,sold,Mimic-Grok,3250,,1800,3250,3000,1300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,3,4450,5550,0.555,12,12,0,3045.833
Mimic-GPT-5.4,2,2000,8000,0.8,12,12,0,3045.833
Mimic-Grok,2,1650,8350,0.835,12,12,0,3045.833
Mimic-Llama,3,3350,6650,0.665,12,12,0,3045.833
Mimic-Opus,2,2000,8000,0.8,12,12,0,3045.833
