Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1500,1500,800,,950,1400
painting_2,sold,Mimic-Pro,2000,1800,950,1200,1300,2000
painting_3,sold,Math-T5,1800,1800,1200,,1700,850
painting_4,sold,Math-T5,1900,1900,1600,1300,1800,1200
painting_5,sold,Math-T5,1800,1800,1500,950,1700,850
painting_6,sold,Math-T5,2550,2550,1850,2150,2450,850
painting_7,sold,Mimic-GPT-5.4,2300,,2300,1900,2200,1100
painting_8,sold,Mimic-GPT-5.4,2700,250,2700,400,2600,1800
painting_9,sold,Mimic-Opus,2500,250,1800,2400,2500,2300
painting_10,sold,Mimic-Opus,2450,,2050,1550,2450,2350
painting_11,sold,Mimic-Grok,4750,200,3750,4750,1800,4500
painting_12,sold,Mimic-Pro,5250,,4750,1500,4500,5250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,5,450,9550,0.955,12,12,0,2625.0
Mimic-GPT-5.4,2,5000,5000,0.5,12,12,0,2625.0
Mimic-Grok,1,5250,4750,0.475,12,12,0,2625.0
Mimic-Opus,2,5050,4950,0.495,12,12,0,2625.0
Mimic-Pro,2,2750,7250,0.725,12,12,0,2625.0
