Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1250,1250,850,1050,650,1150
painting_2,sold,Math-T1,3000,3000,1100,2900,1800,900
painting_3,sold,Mimic-Llama,6100,5600,1200,6100,1400,1600
painting_4,sold,Math-T1,4150,4150,1800,3900,2700,1500
painting_5,sold,Mimic-Llama,2600,1000,1900,2600,2500,2100
painting_6,sold,Mimic-Opus,3500,1600,3250,1100,3500,3000
painting_7,sold,Mimic-GPT-5.4,2900,1300,2900,950,2400,2800
painting_8,sold,Mimic-Pro,4250,1600,4000,1200,2700,4250
painting_9,sold,Mimic-GPT-5.4,5000,1600,5000,1200,3750,4500
painting_10,sold,Mimic-Opus,6000,1600,2100,1100,6000,5500
painting_11,sold,Mimic-Pro,2200,1550,2100,1250,500,2200
painting_12,sold,Mimic-Pro,2200,1600,2100,1300,300,2200

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,1600,8400,0.84,12,12,0,3595.833
Mimic-GPT-5.4,2,2100,7900,0.79,12,12,0,3595.833
Mimic-Llama,2,1300,8700,0.87,12,12,0,3595.833
Mimic-Opus,2,500,9500,0.95,12,12,0,3595.833
Mimic-Pro,3,1350,8650,0.865,12,12,0,3595.833
