Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T1,1600,1600,950,700,1500,800
painting_2,sold,Math-T1,2900,2900,1100,1300,2800,1400
painting_3,sold,Mimic-Llama,5750,5500,1500,2000,5750,2100
painting_4,sold,Math-T1,3000,3000,1700,700,2100,2900
painting_5,sold,Mimic-Opus,3000,2200,2400,2000,2800,3000
painting_6,sold,Mimic-Llama,4050,2150,3800,2450,4050,2050
painting_7,sold,Mimic-Grok,6000,2200,5500,6000,200,2700
painting_8,sold,Mimic-GPT-5.4,6000,2400,6000,1000,200,5500
painting_9,sold,Mimic-Opus,4000,2100,3500,3750,200,4000
painting_10,sold,Mimic-Grok,4000,2300,3750,4000,200,2800
painting_11,sold,Mimic-GPT-5.4,3250,2200,3250,,,3000
painting_12,sold,Math-T1,2300,2300,750,,200,2200

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,4,200,9800,0.98,12,12,0,3820.833
Mimic-GPT-5.4,2,750,9250,0.925,12,12,0,3820.833
Mimic-Grok,2,0,10000,1.0,12,12,0,3820.833
Mimic-Llama,2,200,9800,0.98,12,12,0,3820.833
Mimic-Opus,2,3000,7000,0.7,12,12,0,3820.833
