Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1500,850,1300,1200,1500,1400
painting_2,sold,Mimic-Llama,1200,800,950,1200,350,1000
painting_3,sold,Mimic-Llama,1200,900,1000,1200,400,1100
painting_4,sold,Mimic-Pro,1450,900,1350,950,850,1450
painting_5,sold,Mimic-Opus,1650,1250,1450,900,1650,1050
painting_6,sold,Mimic-Llama,1950,1250,1850,1950,850,1150
painting_7,sold,Mimic-GPT-5.4,1700,1600,1700,850,100,950
painting_8,sold,Mimic-Llama,2500,1800,2300,2500,800,2100
painting_9,sold,Mimic-GPT-5.4,2700,2500,2700,1700,1500,2000
painting_10,sold,Math-T2,2650,2650,2350,2150,1550,2550
painting_11,sold,Mimic-Opus,4250,3750,3000,1100,4250,1900
painting_12,sold,Math-T2,5250,5250,5000,2100,1500,3500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,2100,7900,0.79,12,12,0,2333.333
Mimic-GPT-5.4,2,5600,4400,0.44,12,12,0,2333.333
Mimic-Llama,4,3150,6850,0.685,12,12,0,2333.333
Mimic-Opus,3,2600,7400,0.74,12,12,0,2333.333
Mimic-Pro,1,8550,1450,0.145,12,12,0,2333.333
