Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Llama,max_bid_Math-T3,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,900,850,900,650,700,750
painting_2,sold,Math-T3,1000,850,800,1000,700,950
painting_3,sold,Pro,1000,850,800,900,950,1000
painting_4,sold,GPT-5.4,1200,1200,1100,900,950,1000
painting_5,sold,Opus,1400,850,1300,900,1400,1000
painting_6,sold,Llama,1500,1200,1500,900,950,1300
painting_7,sold,Math-T3,1600,1200,1100,1600,1400,1500
painting_8,sold,Llama,2100,1800,2100,1400,1500,1900
painting_9,sold,Pro,2511,1700,1600,2400,2200,2511
painting_10,sold,Math-T3,5000,4750,2500,5000,2800,2000
painting_11,sold,Pro,5750,4750,5500,1900,4000,5750
painting_12,sold,GPT-5.4,8700,8700,,,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,100,9900,0.99,12,12,0,2721.75
Llama,3,5500,4500,0.45,12,12,0,2721.75
Math-T3,3,2400,7600,0.76,12,12,0,2721.75
Opus,1,8600,1400,0.14,12,12,0,2721.75
Pro,3,739,9261,0.926,12,12,0,2721.75
