Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-GPT-5.4,1200,850,1200,950,800,1000
painting_2,sold,Math-T2,950,950,750,400,100,900
painting_3,sold,Mimic-Llama,2250,800,1050,1250,2250,2150
painting_4,sold,Mimic-Llama,1600,750,1000,800,1600,1500
painting_5,sold,Mimic-Opus,1350,1150,1050,1250,750,1350
painting_6,sold,Mimic-Opus,1400,1200,1000,1300,1100,1400
painting_7,sold,Mimic-Llama,1650,1450,1250,750,1650,550
painting_8,sold,Mimic-GPT-5.4,1900,1800,1900,200,1200,500
painting_9,sold,Mimic-Grok,3500,2200,1900,3500,3000,1800
painting_10,sold,Math-T2,2400,2400,2200,1600,2300,1700
painting_11,sold,Mimic-Grok,4050,3300,3050,4050,850,3800
painting_12,sold,Mimic-Opus,6750,6500,4750,200,2700,6750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,6650,3350,0.335,12,12,0,2416.667
Mimic-GPT-5.4,2,6900,3100,0.31,12,12,0,2416.667
Mimic-Grok,2,2450,7550,0.755,12,12,0,2416.667
Mimic-Llama,3,4500,5500,0.55,12,12,0,2416.667
Mimic-Opus,3,500,9500,0.95,12,12,0,2416.667
