Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,950,850,750,700,950,900
painting_2,sold,Mimic-Pro,1000,950,900,600,750,1000
painting_3,sold,Mimic-Llama,1100,850,900,600,1100,550
painting_4,sold,Mimic-Grok,1400,850,1000,1400,1100,1300
painting_5,sold,Mimic-Llama,1600,1100,1500,1400,1600,1300
painting_6,sold,Mimic-GPT-5.4,1700,1500,1700,400,600,1000
painting_7,sold,Math-T2,1750,1750,1150,1650,1250,1450
painting_8,sold,Mimic-Pro,2300,1700,2000,2200,1600,2300
painting_9,sold,Mimic-Grok,2800,1900,2600,2800,1800,950
painting_10,sold,Mimic-GPT-5.4,2900,2700,2900,800,2600,2300
painting_11,sold,Mimic-Llama,5000,4000,2700,2200,5000,4750
painting_12,sold,Math-T2,3800,3800,3550,450,1150,2450

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,4450,5550,0.555,12,12,0,2191.667
Mimic-GPT-5.4,2,5400,4600,0.46,12,12,0,2191.667
Mimic-Grok,2,5800,4200,0.42,12,12,0,2191.667
Mimic-Llama,4,1350,8650,0.865,12,12,0,2191.667
Mimic-Pro,2,6700,3300,0.33,12,12,0,2191.667
