Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1000,1000,900,400,950,
painting_2,sold,Math-T1,2400,2400,1200,800,2300,1000
painting_3,sold,Math-T1,6500,6500,1200,850,6250,1500
painting_4,sold,Mimic-Llama,1600,100,1500,1400,1600,1300
painting_5,sold,Mimic-Llama,1750,100,1450,1350,1750,1650
painting_6,sold,Mimic-Llama,2500,100,2200,2400,2500,1500
painting_7,sold,Mimic-Llama,3250,100,3000,1800,3250,2400
painting_8,sold,Mimic-GPT-5.4,3500,100,3500,3250,650,3000
painting_9,sold,Mimic-Grok,5500,100,3750,5500,750,5250
painting_10,sold,Mimic-GPT-5.4,6250,100,6250,750,850,6000
painting_11,sold,Mimic-Pro,4750,100,,4250,750,4750
painting_12,sold,Mimic-Pro,1300,100,,1200,700,1300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,100,9900,0.99,12,12,0,3358.333
Mimic-GPT-5.4,2,250,9750,0.975,12,12,0,3358.333
Mimic-Grok,1,4500,5500,0.55,12,12,0,3358.333
Mimic-Llama,4,900,9100,0.91,12,12,0,3358.333
Mimic-Pro,2,3950,6050,0.605,12,12,0,3358.333
