Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1650,1650,1150,1350,1550,1250
painting_2,sold,Math-T1,3350,3350,950,3100,900,1000
painting_3,sold,Mimic-Llama,5000,4500,1000,5000,1800,1100
painting_4,sold,Math-T1,4750,4750,1400,4500,2700,2000
painting_5,sold,Mimic-Llama,4100,200,2200,4100,3850,2800
painting_6,sold,Mimic-GPT-5.4,5300,250,5300,800,4800,2350
painting_7,sold,Mimic-Opus,5250,250,2500,850,5250,5000
painting_8,sold,Mimic-Pro,4000,200,3750,850,3500,4000
painting_9,sold,Mimic-Pro,4500,200,4250,700,2500,4500
painting_10,sold,Mimic-Opus,4500,200,4250,800,4500,1400
painting_11,sold,Mimic-GPT-5.4,1600,,1600,900,,1400
painting_12,sold,Mimic-GPT-5.4,1500,200,1500,850,250,1400

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,250,9750,0.975,12,12,0,3791.667
Mimic-GPT-5.4,3,1600,8400,0.84,12,12,0,3791.667
Mimic-Llama,2,900,9100,0.91,12,12,0,3791.667
Mimic-Opus,2,250,9750,0.975,12,12,0,3791.667
Mimic-Pro,2,1500,8500,0.85,12,12,0,3791.667
