Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Pro,1200,1100,800,1000,700,1200
painting_2,sold,Llama,950,900,800,950,700,750
painting_3,sold,Opus,1400,950,300,1300,1400,700
painting_4,sold,GPT-5.4,1100,1100,800,1000,700,950
painting_5,sold,Llama,1300,950,1200,1300,1000,1100
painting_6,sold,Grok,2700,1000,2700,2600,1100,1200
painting_7,sold,Opus,1600,1500,1100,1200,1600,1000
painting_8,sold,Llama,2000,1900,1100,2000,1400,1500
painting_9,sold,GPT-5.4,2300,2300,1600,2000,1400,2200
painting_10,sold,Pro,3250,1800,2100,3000,2400,3250
painting_11,sold,Grok,5800,2800,5800,2700,2900,5550
painting_12,sold,Opus,6601,150,,100,6601,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,6600,3400,0.34,12,12,0,2516.75
Grok,2,1500,8500,0.85,12,12,0,2516.75
Llama,3,5750,4250,0.425,12,12,0,2516.75
Opus,3,399,9601,0.96,12,12,0,2516.75
Pro,2,5550,4450,0.445,12,12,0,2516.75
