Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1500,1500,800,500,1400,1000
painting_2,sold,Math-T1,3750,3750,900,,3500,850
painting_3,sold,Mimic-Llama,4550,4300,1150,200,4550,1450
painting_4,sold,Mimic-Llama,4750,4250,1400,800,4750,1900
painting_5,sold,Math-T1,2100,2100,2000,950,400,900
painting_6,sold,Mimic-GPT-5.4,2700,2400,2700,2000,700,1900
painting_7,sold,Mimic-Pro,2700,2300,2600,2500,650,2700
painting_8,sold,Mimic-Grok,3850,2600,3600,3850,600,2200
painting_9,sold,Mimic-GPT-5.4,4000,2500,4000,2700,700,3250
painting_10,sold,Mimic-Pro,2950,2650,2850,850,700,2950
painting_11,sold,Mimic-Grok,4600,2500,2900,4600,500,4350
painting_12,sold,Mimic-Pro,3100,2200,2900,,600,3100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,2650,7350,0.735,12,12,0,3379.167
Mimic-GPT-5.4,2,3300,6700,0.67,12,12,0,3379.167
Mimic-Grok,2,1550,8450,0.845,12,12,0,3379.167
Mimic-Llama,2,700,9300,0.93,12,12,0,3379.167
Mimic-Pro,3,1250,8750,0.875,12,12,0,3379.167
