Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1600,1600,800,1500,900,1100
painting_2,sold,Mimic-Llama,1950,1750,1550,1950,950,1150
painting_3,sold,Mimic-Pro,2000,1900,100,1100,1400,2000
painting_4,sold,Math-T5,2100,2100,1000,1300,1200,2000
painting_5,sold,Mimic-Llama,2600,2500,1900,2600,2300,1200
painting_6,sold,Math-T5,2100,2100,1900,1700,2000,1300
painting_7,sold,Mimic-Opus,4600,3600,1900,4100,4600,1600
painting_8,sold,Mimic-Grok,4250,3500,4250,4000,2100,1800
painting_9,sold,Mimic-Llama,3900,,1350,3900,1450,3400
painting_10,sold,Mimic-Grok,3000,,3000,1500,2900,300
painting_11,sold,Mimic-Pro,4250,3750,,1300,4000,4250
painting_12,sold,Mimic-Opus,3000,,1500,1300,3000,2900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,3,4200,5800,0.58,12,12,0,2945.833
Mimic-Grok,2,2750,7250,0.725,12,12,0,2945.833
Mimic-Llama,3,1550,8450,0.845,12,12,0,2945.833
Mimic-Opus,2,2400,7600,0.76,12,12,0,2945.833
Mimic-Pro,2,3750,6250,0.625,12,12,0,2945.833
