Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,1300,1300,1100,950,1000,900
painting_2,sold,Mimic-Llama,1200,750,700,1200,950,1000
painting_3,sold,Mimic-Opus,1600,1400,900,1500,1600,1000
painting_4,sold,Mimic-Pro,1400,1000,800,1200,750,1400
painting_5,sold,Mimic-Llama,1700,950,1600,1700,1400,1000
painting_6,sold,Mimic-Grok,3100,1200,3100,2900,2300,1700
painting_7,sold,Mimic-GPT-5.4,1700,1700,1500,1300,1400,1200
painting_8,sold,Mimic-Llama,2700,1500,750,2700,1900,2500
painting_9,sold,Mimic-Pro,2200,1700,600,1100,2000,2200
painting_10,sold,Mimic-Grok,4500,2800,4500,2500,3250,4250
painting_11,sold,Mimic-Pro,4750,4500,700,,4000,4750
painting_12,sold,Mimic-Opus,6550,6050,,3800,6550,100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,7000,3000,0.3,12,12,0,2725.0
Mimic-Grok,2,2400,7600,0.76,12,12,0,2725.0
Mimic-Llama,3,4400,5600,0.56,12,12,0,2725.0
Mimic-Opus,2,1850,8150,0.815,12,12,0,2725.0
Mimic-Pro,3,1650,8350,0.835,12,12,0,2725.0
