Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1000,700,900,550,750,1000
painting_2,sold,Mimic-Llama,1100,750,1000,900,1100,950
painting_3,sold,Math-T3,1100,1100,1000,900,850,950
painting_4,sold,Mimic-GPT-5.4,1200,850,1200,1000,900,550
painting_5,sold,Mimic-Llama,2300,900,1200,2200,2300,1100
painting_6,sold,Mimic-Pro,2000,1100,1700,1900,1800,2000
painting_7,sold,Mimic-Grok,2000,1800,1700,2000,1900,650
painting_8,sold,Mimic-Llama,2400,2200,1800,1300,2400,850
painting_9,sold,Mimic-GPT-5.4,3800,3300,3800,1550,950,1950
painting_10,sold,Math-T3,4500,4500,2600,4250,2100,2900
painting_11,sold,Mimic-Pro,5250,3750,3500,4750,2300,5250
painting_12,sold,Mimic-Grok,5500,4250,5000,5500,3000,1500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,2,4400,5600,0.56,12,12,0,2679.167
Mimic-GPT-5.4,2,5000,5000,0.5,12,12,0,2679.167
Mimic-Grok,2,2500,7500,0.75,12,12,0,2679.167
Mimic-Llama,3,4200,5800,0.58,12,12,0,2679.167
Mimic-Pro,3,1750,8250,0.825,12,12,0,2679.167
