Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2695.833

painting_1 | status=sold | winner=Mimic-Pro | winning_bid=1350
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Math-T3 RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-GPT-5.4 RAISE to 300 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 350 (before=300, leader_after=bidder_5)
  turn 6: Mimic-Llama RAISE to 450 (before=350, leader_after=bidder_1)
  turn 7: Math-T3 RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-Llama RAISE to 750 (before=650, leader_after=bidder_1)
  turn 12: Math-T3 RAISE to 800 (before=750, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 850 (before=800, leader_after=bidder_3)
  turn 14: Mimic-GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 950 (before=900, leader_after=bidder_5)
  turn 16: Mimic-Llama RAISE to 1050 (before=950, leader_after=bidder_1)
  turn 17: Math-T3 PASS (before=1050, leader_after=bidder_1)
  turn 18: Mimic-Opus RAISE to 1150 (before=1050, leader_after=bidder_3)
  turn 19: Mimic-GPT-5.4 PASS (before=1150, leader_after=bidder_3)
  turn 20: Mimic-Pro RAISE to 1350 (before=1150, leader_after=bidder_5)
  turn 21: Mimic-Llama PASS (before=1350, leader_after=bidder_5)
  turn 22: Mimic-Opus PASS (before=1350, leader_after=bidder_5)

painting_2 | status=sold | winner=Mimic-Llama | winning_bid=1400
