Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1350,800,900,1050,1150,1350
painting_2,sold,Mimic-Llama,1400,1000,1300,1400,1200,900
painting_3,sold,Mimic-Llama,2200,800,900,2200,2100,1000
painting_4,sold,Mimic-Opus,1500,1400,1300,700,1500,1000
painting_5,sold,Math-T3,1500,1500,1400,100,950,1100
painting_6,sold,Mimic-GPT-5.4,1600,1000,1600,950,1100,1500
painting_7,sold,Mimic-Opus,1900,1600,1400,950,1900,1500
painting_8,sold,Math-T3,2150,2150,2050,1450,1050,1850
painting_9,sold,Mimic-GPT-5.4,2500,1700,2500,2400,900,2100
painting_10,sold,Mimic-Llama,3500,3000,2000,3500,1900,2400
painting_11,sold,Mimic-Pro,6150,5900,3150,2750,2950,6150
painting_12,sold,Mimic-Opus,6600,6350,3850,2700,6600,2500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,2,6350,3650,0.365,12,12,0,2695.833
Mimic-GPT-5.4,2,5900,4100,0.41,12,12,0,2695.833
Mimic-Llama,3,2900,7100,0.71,12,12,0,2695.833
Mimic-Opus,3,0,10000,1.0,12,12,0,2695.833
Mimic-Pro,2,2500,7500,0.75,12,12,0,2695.833
