Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T5,1500,1500,850,400,1400,500
painting_2,sold,Mimic-Llama,1250,,900,950,1250,1050
painting_3,sold,Math-T5,1700,1700,900,950,1500,1600
painting_4,sold,Mimic-Llama,2100,1800,1200,600,2100,2000
painting_5,sold,Math-T5,1700,1700,1600,1300,1100,1400
painting_6,sold,Mimic-Llama,3500,3250,2000,1600,3500,2600
painting_7,sold,Math-T5,4000,4000,2100,2300,1800,3750
painting_8,sold,Mimic-Opus,5250,150,5000,3250,2800,5250
painting_9,sold,Mimic-GPT-5.4,6300,150,6300,5800,2850,1950
painting_10,sold,Mimic-Grok,3750,,3500,3750,2800,3250
painting_11,sold,Mimic-Grok,4750,,3250,4750,2700,4250
painting_12,sold,Mimic-Opus,3800,,3300,1150,3050,3800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,1100,8900,0.89,12,12,0,3300.0
Mimic-GPT-5.4,1,3700,6300,0.63,12,12,0,3300.0
Mimic-Grok,2,1500,8500,0.85,12,12,0,3300.0
Mimic-Llama,3,3150,6850,0.685,12,12,0,3300.0
Mimic-Opus,2,950,9050,0.905,12,12,0,3300.0
