Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1500,1500,1000,850,950,1400
painting_2,sold,Math-T4,2850,2850,1050,2750,1450,1350
painting_3,sold,Mimic-Llama,4500,4250,1300,4500,900,
painting_4,sold,Math-T4,4250,4250,1600,4000,2600,1900
painting_5,sold,Mimic-Llama,2800,1200,1600,2800,2700,2200
painting_6,sold,Mimic-Opus,2700,1200,2600,2200,2700,2300
painting_7,sold,Mimic-Grok,2800,950,2800,2700,2100,2500
painting_8,sold,Mimic-Pro,2750,900,1850,2350,2650,2750
painting_9,sold,Mimic-Opus,4750,1200,4500,2400,4750,4000
painting_10,sold,Mimic-Pro,3000,900,350,2700,1650,3000
painting_11,sold,Mimic-Grok,2900,1300,2900,2700,2200,2800
painting_12,sold,Mimic-Pro,2800,1000,2400,2700,2300,2800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,1400,8600,0.86,12,12,0,3133.333
Mimic-Grok,2,4300,5700,0.57,12,12,0,3133.333
Mimic-Llama,2,2700,7300,0.73,12,12,0,3133.333
Mimic-Opus,2,2550,7450,0.745,12,12,0,3133.333
Mimic-Pro,3,1450,8550,0.855,12,12,0,3133.333
