Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1400,1400,950,800,1300,1100
painting_2,sold,Math-T4,1000,1000,950,650,700,850
painting_3,sold,Math-T4,1800,1800,1400,1100,1300,1700
painting_4,sold,Math-T4,1900,1900,1200,1500,1100,1800
painting_5,sold,Math-T4,1900,1900,1200,1500,1800,1400
painting_6,sold,Mimic-GPT-5.4,2200,1600,2200,2000,2100,1800
painting_7,sold,Mimic-Opus,2200,1800,1700,2100,2200,1900
painting_8,sold,Mimic-Opus,3000,1900,2500,2700,3000,2600
painting_9,sold,Mimic-Grok,3600,1700,3350,3600,750,2700
painting_10,sold,Mimic-GPT-5.4,3750,1800,3750,1400,2000,3500
painting_11,sold,Mimic-Pro,4300,2000,4050,2300,2400,4300
painting_12,sold,Mimic-Grok,5600,1400,3600,5600,4350,5100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,5,2000,8000,0.8,12,12,0,2720.833
Mimic-GPT-5.4,2,4050,5950,0.595,12,12,0,2720.833
Mimic-Grok,2,800,9200,0.92,12,12,0,2720.833
Mimic-Opus,2,4800,5200,0.52,12,12,0,2720.833
Mimic-Pro,1,5700,4300,0.43,12,12,0,2720.833
