Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Grok,1400,800,1400,1300,1100,1000
painting_2,sold,Mimic-Llama,1200,1000,300,1200,650,800
painting_3,sold,Mimic-Llama,1700,1300,,1700,1600,1000
painting_4,sold,Mimic-Opus,1800,1100,650,850,1800,1700
painting_5,sold,Mimic-Llama,1550,1250,350,1550,650,1450
painting_6,sold,Mimic-GPT-5.4,1650,1650,700,650,1050,1550
painting_7,sold,Mimic-Pro,1900,1400,1600,950,1800,1900
painting_8,sold,Mimic-GPT-5.4,1800,1800,1000,900,1500,1700
painting_9,sold,Mimic-Grok,2350,1350,2350,1850,,2250
painting_10,sold,Mimic-GPT-5.4,3550,3550,1550,1450,3300,3050
painting_11,sold,Mimic-Llama,4600,1600,1300,4600,4100,2600
painting_12,sold,Mimic-Opus,4000,2100,950,900,4000,3500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,3,3000,7000,0.7,12,12,0,2291.667
Mimic-Grok,2,6250,3750,0.375,12,12,0,2291.667
Mimic-Llama,4,950,9050,0.905,12,12,0,2291.667
Mimic-Opus,2,4200,5800,0.58,12,12,0,2291.667
Mimic-Pro,1,8100,1900,0.19,12,12,0,2291.667
